stockid,stocklong,year,BvBmsy,FvFmsy,MSY,region,country
POPERCHPCOAST,Pacific ocean perch Pacific Coast,2016,1.78929031199259e-6,0.02666,1808.3000489999997,US West Coast,USA
PSOLEPCOAST,Petrale sole Pacific Coast,2011,0.514995817899391,0.834285714285714,2068.278688524589,US West Coast,USA
PTOOTHFISHMI,Patagonian toothfish Macquarie Island,2009,2.26513067044418,0.0926769153720583,184.36899999999986,Australia,Australia
PTOOTHFISHPEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,2013,2.58,0.00649,1514.4300000000012,Southern Africa,South Africa
QUAHATLC,Ocean quahog Atlantic Coast,2016,1632.56083055843,7.9740309156366e-5,73297.99999999985,US East Coast,USA
RBRMECS,Red seabream East China Sea,2013,0.0985860533443511,3.23943661971831,11625.598740000001,Japan,Japan
RBRMSETOE,Red seabream Inland Sea of Japan (East),2013,0.101498308361527,3.08034568323779,3105.528673000001,Japan,Japan
RBRMSETOW,Red seabream Inland Sea of Japan (West),2013,0.27288294757775,1.4752625296729,4173.130057000002,Japan,Japan
REDFEAUS,Redfish Eastern Australia,2016,0.170430009857304,0.302490106412877,913.2456562999994,Australia,Australia
REDFISHSPP3LN,Redfish species N and SW Grand Banks,2007,0.746,0.1,24439.999999999996,Canada East Coast,Canada
REXSOLEGA,Rex sole Gulf of Alaska,2015,2.65053277040611,0.812499961914064,5769.839840832005,US Alaska,USA
RGROUPGM,Red grouper Gulf of Mexico,2013,1.18775510204082,0.594339622641509,6529.160000000003,US Southeast and Gulf,USA
RGROUPSATL,Red grouper South Atlantic,2008,804.195098963242,4.41666677708334,503.4899999999987,US Southeast and Gulf,USA
RHERRTSST,Round herring Tsushima Strait,2018,0.68995762029934,1.15168539325843,43991.570930000016,Japan,Japan
RKCRABBB,Red king crab Bristol Bay,2007,1.07247058823529,1.05454545454545,23942.162809527978,US Alaska,USA
RPORGYSATLC,Red porgy Southern Atlantic coast,2011,0.475464022374778,0.862871297867591,378.2960366000003,US Southeast and Gulf,USA
RROCKLOBSTERCRA1,Red rock lobster New Zealand Area CRA1,2013,1.74001422908832,0.258022674090212,161.1090000000004,New Zealand,New Zealand
RROCKLOBSTERCRA2,Red rock lobster New Zealand Area CRA2,2012,0.958318672125685,0.356507481117079,265.7825000000005,New Zealand,New Zealand
RROCKLOBSTERCRA4,Red rock lobster New Zealand Area CRA4,2010,1.68429786027892,0.179548875316374,679.9690000000003,New Zealand,New Zealand
RROCKLOBSTERCRA7,Red rock lobster New Zealand Area CRA7,2014,2.39854996524729,0.10283264827401,193.62799999999987,New Zealand,New Zealand
RROCKLOBSTERCRA8,Red rock lobster New Zealand Area CRA8,2014,1.74132907419975,0.266483122017912,1082.505,New Zealand,New Zealand
RSFLOUNSOJ,Round nose flounder Sea of Japan,2013,0.516971279373368,1.05775387373544,1568.6790610000014,Japan,Japan
RSNAPGM,Red snapper Gulf of Mexico,2016,0.704878048780488,0.827586235434008,5896.696000000005,US Southeast and Gulf,USA
RSNAPSATLC,Red snapper Southern Atlantic coast,2014,0.164133738601824,3.68493150684932,195.0447320000002,US Southeast and Gulf,USA
RSOLE5AB,Rock sole Queen Charlotte Sound,2013,1.39661756683033,0.460251046025105,523.9999999999997,Canada West Coast,Canada
RSOLEHSTR,Rock sole Hecate Strait,2005,2.57572635483206,0.110059171597633,1895.0000000000014,Canada West Coast,Canada
RSROCKBCWN,Redstripe rockfish British Columbia Waters North,2017,3.14212861826698,0.0255765909090909,541.0240000000003,Canada West Coast,Canada
RSROCKBCWS,Redstripe rockfish British Columbia Waters South,2017,2.34290637188873,0.162577183333333,1512.9,Canada West Coast,Canada
SABLEFEBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,2010,0.930041313414133,0.261141401218073,20123.89380530974,US Alaska,USA
SABLEFPCAN,Sablefish Pacific Coast of Canada,2010,0.783959537572254,1.14545454545455,3229.999999999998,Canada West Coast,Canada
SABLEFPCOAST,Sablefish Pacific Coast,2014,0.881342428919982,0.82,7476.000000000006,US West Coast,USA
SAILEATL,Sailfish Eastern Atlantic,2007,0.33,7.43083367772023,851.0000000000014,Atlantic Ocean,Ghana
SAILWATL,Sailfish Western Atlantic,2007,0.54,2.26571879332166,850.000000000001,Atlantic Ocean,Venezuela
SARDMEDGSA16,Sardine South of Sicily,2011,0.47,1.06958364276557,5307.000000000004,Mediterranean-Black Sea,Italy
SARDWSE,Sardine Western half of Southeast Australia,2017,8.33279846283712,0.245091980555549,85725.79815999998,Australia,Australia
SAURNWPAC,Pacific saury Northwest Pacific,2017,0.61764705,0.9083684,493000.0000000002,Japan,Japan
SBT,Southern bluefin tuna Southern Oceans,2013,0.265,0.684,32999.999999999956,Indian Ocean,Japan
SBWHITARGS,Southern blue whiting Southern Argentina,2018,0.547367788419047,0.271739130434783,96296.00000000009,South America,Argentina
SCALL5ZMAB,Sea scallop Georges Bank and Mid-Atlantic Bight,2017,2.7176917938441,0.185501913083086,46531.00000000004,US East Coast,USA
SCMPBP,Scampi Bay of Plenty,2010,1.84138941201088,0.341793295344557,342.49180000000047,New Zealand,New Zealand
SCMPWHB,Scampi Wairarapa/Hawke Bay,2010,1.3231981981982,0.455351796577602,193.99999999999991,New Zealand,New Zealand
SCUPNWATLC,Scup Northwestern Atlantic Coast,2014,2.44300245126114,0.472727274876033,11747.565283018863,US East Coast,USA
SFLOUNMATLC,Summer flounder Mid-Atlantic Coast,2014,0.605603102862455,1.23300976859271,12772.400000000001,US East Coast,USA
SHAKE4VWX,Silver hake Scotian Shelf and Bay of Fundy,2014,2.47457627118644,0.175029965753425,16000,Canada East Coast,Canada
SILVERFISHSE,Silverfish Southeast Australia,2017,0.837376638794169,0.199503531144745,2064.398075000002,Australia,Australia
SKJCIO,Skipjack tuna Indian Ocean,2016,1,0.93,509999.9999999999,Indian Ocean,Indonesia
SKJCWPAC,Skipjack tuna Central Western Pacific Ocean,2015,1.85,0.612245391411282,1618799.999999996,Pacific Ocean,Japan
SKJEATL,Skipjack tuna Eastern Atlantic,2006,1.71,0.431975689193939,152452.5862068966,Atlantic Ocean,Spain
SKJWATL,Skipjack tuna Western Atlantic,2013,1.2,0.488687782805428,31620.000000000004,Atlantic Ocean,Brazil
SMOOTHOREOBP,Smooth oreo Bounty Plateau,2008,0.828610064159738,0.721428571428571,446.9999999999993,New Zealand,New Zealand
SMOOTHOREOCR,Smooth oreo Chatham Rise,2013,0.72121960722546,1.55,2996.0000000000005,New Zealand,New Zealand
SMOOTHOREOEPR,Smooth oreo East Pukaki Rise,2006,0.888,1.975,443.00000000000006,New Zealand,New Zealand
SMOOTHOREOSLD,Smooth oreo Southland,2007,0.793,0.778587353351432,420.72000000000014,New Zealand,New Zealand
SMOOTHOREOWECR,Smooth oreo West end of Chatham Rise,2009,0.883006422081843,0.1875,2179.0000000000014,New Zealand,New Zealand
SNOWCRABESJ,Snow crab Sea of Japan East,2013,1.47527242246438,0.216644865925442,829.1349999999996,Japan,Japan
SNOWCRABNPAC,Snow crab North Pacific,2013,0.385627530364372,0.042386006097064,159.06800000000007,Japan,Japan
SNOWCRABWSJ,Snow crab Sea of Japan West,2013,1.95476858345021,0.300822122571002,5475.840000000001,Japan,Japan
